day,violation_ip,violation_chp,blocking_coalition_ip,blocking_coalition_chp,profit_ip_u1,profit_chp_u1,profit_ip_u2,profit_chp_u2,profit_ip_u3,profit_chp_u3,profit_ip_u4,profit_chp_u4,profit_ip_u5,profit_chp_u5,profit_ip_u6,profit_chp_u6
1,-2.8348080319465684e-11,-2.613118698389417e-11,,,1299.3993975924807,1299.3993975924818,54.915117946308285,54.91511794631363,455.2159916032176,455.21599160321875,90.97219932625717,90.97219932626274,106.05766178721314,106.05766178720046,134.72189892093968,134.72189892093888
2,-2.6458531757810057e-11,-1.8635456237091354e-11,,,1234.6403996862657,1234.6403996862743,111.9350434331285,111.93504343312162,440.83688448917405,440.8368844891728,55.5280360929554,55.528036092951766,81.27020243411272,81.27020243411653,134.72189892093968,134.72189892093934
3,-1.9847967696891107e-11,-2.553941501032951e-11,,,1012.721238912353,1012.7212389111567,46.083955694590884,46.08395569497958,454.41179558025897,454.4117955805291,83.65639876891134,83.65639876949837,116.29748161781248,116.29748161778247,134.72189892093968,134.72189892092013
4,-1.6089837795441042e-11,-7.186737316366987e-12,,,1371.653958166215,1371.6539581662244,62.5077687428796,62.507768742858225,443.45649192552526,443.4564919255248,59.57066577164949,59.57066577164778,79.76401123240072,79.76401123241493,134.72189892093968,134.72189892094025
5,-2.7749910431859638e-11,-2.147360642959707e-11,,,1280.5250534660381,1280.5250534660443,51.453185031520825,51.45318503151059,449.03856167247386,449.0385616724694,77.28011506332678,77.28011506332268,100.33210000113701,100.33210000114661,134.72189892093968,134.72189892094275
6,-4.219014027029289e-12,8.116285421522207e-13,,,1355.2515041944603,1355.251504194474,142.91912866771239,142.91912866771227,483.9519282064937,483.95192820648913,147.38340390982967,147.38340390982341,108.7452143230696,108.74521432306568,134.72189892093968,134.72189892094104
7,-1.6945184923255465e-11,-2.0043151251169502e-11,,,1395.4419889119013,1395.441988911908,114.3215208255867,114.32152082558181,443.8888195094303,443.88881950942664,60.507301713040306,60.507301713037464,81.27020243411272,81.2702024341146,134.72189892093968,134.72189892094207
8,-3.798956948477753e-11,-3.882823195757937e-11,,,1357.1697983570507,1357.1697983609197,125.85905580463144,125.85905580357256,477.041400533122,477.04140053230844,135.6757461004205,135.6757460985434,112.13453270846276,112.13453270834088,134.72189892093968,134.72189892094195
9,-2.6371221940574953e-11,-6.456092009914801e-11,,,1362.832132151746,1362.8321321515878,139.32078453325354,139.3207845332872,489.57186019028995,489.57186019031735,161.33354444239535,161.3335444424588,118.52042283155066,118.52042283158306,134.72189892093968,134.72189892094116
10,-2.4531333857900374e-11,-2.5327732966484717e-11,,,1025.6437042954888,1027.9314821103649,81.47191471296836,79.38553325190017,452.82839209935264,452.3467779067421,76.62963885331027,75.77915673731366,50.67959472450303,51.810294679300284,134.72189892093968,134.72189892094127
11,-2.4300539773176133e-11,-2.237496895926626e-11,,,957.5304605978266,957.5304605978562,64.89379408909578,64.89379408904934,441.2262782009957,441.22627820099115,55.264533518742894,55.26453351873403,79.65197307587573,79.6519730759062,134.72189892093968,134.72189892093945
12,-2.7853497751814454e-11,-2.7349012409424783e-11,,,990.7261038008968,990.7261038008974,47.17324959363698,47.1732495936359,445.42510917381037,445.4251091738098,65.16487545664933,65.16487545664955,97.30718323816058,97.30718323816086,134.72189892093968,134.72189892094036
13,-2.6038406018057138e-11,-2.9278480893123195e-11,,,1310.9407321430301,1310.9407321430363,65.89389292947698,65.89389292947516,443.78150243625953,443.7815024362593,61.88118314690655,61.88118314690405,81.27020243411266,81.27020243411226,134.72189892093968,134.7218989209391
14,-1.8437226000665193e-11,-2.395103763016357e-11,,,1062.847189575643,1062.847189575607,47.64686689538381,47.64686689535124,446.7517324041811,446.75173240417746,68.51677741549571,68.51677741549486,95.97227675567115,95.97227675573998,134.72189892093968,134.72189892094377
15,-1.4004110371335088e-12,-2.635426599173485e-13,,,1350.845117311282,1350.845117311453,117.14385200777544,117.14385200773644,471.929783938421,471.92978393837393,121.84289675391028,121.84289675381763,114.48869924354977,114.4886992435546,134.72189892093968,134.7218989209423
16,-1.7481983340625107e-11,-2.16955017636825e-11,,,1252.3339731194221,1252.3339731194667,103.58786353381402,103.58786353371727,436.41995756854567,436.4199575685434,45.92910168775143,45.92910168773665,81.27020243411266,81.27020243418872,134.72189892093968,134.72189892093263
17,-1.3272508959938367e-11,-1.571390828265083e-11,,,954.5801508998442,954.5801508998812,51.31678685750464,51.31678685752374,440.8720604312017,440.87206043119136,55.330271436292264,55.33027143627493,79.98389819792953,79.98389819789844,134.72189892093968,134.7218989209424
18,0.11455520150218454,0.11455520149956974,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6']","['u1', 'u2', 'u3', 'u4', 'u5', 'u6']",1172.8431326470914,1172.8431326470989,63.78113204870672,63.78113204870803,438.85360773447076,438.8536077344686,50.8346019330188,50.83460193301471,79.65197307587573,79.65197307587306,134.72189892093968,134.72189892093968
19,-4.587964281862002e-12,-2.2822531043204767e-12,,,1244.16364810301,1244.1636481030118,85.18080789999583,85.18080789999566,420.9857553959956,420.98575539599335,11.69907426880468,11.699074268804111,81.3822405906377,81.38224059063708,134.72189892093968,134.7218989209416
20,0.14210633906375916,0.1421063390682427,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6']","['u1', 'u2', 'u3', 'u4', 'u5', 'u6']",1386.730772188205,1386.7307721882096,41.04982734776245,41.049827347757166,433.22468454501006,433.22468454500836,37.20889408751964,37.20889408751657,94.2831108042023,94.28311080420809,134.7218989209398,134.72189892093968
21,-1.2511002142815315e-11,-1.5751077017881372e-11,,,1255.1747716251816,1255.1747716251787,47.95961794916281,47.95961794914184,430.52019567161915,430.52019567162256,34.24481276569645,34.24481276570327,79.65197307587567,79.65197307588915,134.72189892093968,134.72189892094048
22,8.264326722962068e-13,7.980109628658028e-13,,,1300.1843376144013,1300.1843376144814,108.12620874772279,108.1262087476756,462.82433960197613,462.8243396019558,105.4862553871069,105.48625538706528,113.26584063870433,113.26584063873167,134.72189892093968,134.72189892094116
23,-1.3448228641799176e-11,-1.475562727559776e-11,,,1195.8849086779312,1195.8849086779294,68.91040097120391,68.91040097121574,467.3477284474493,467.3477284474493,114.89439552015642,114.89439552015699,98.41625615483832,98.41625615482684,134.72189892093968,134.72189892094013
24,-2.304056788686615e-11,-2.3381628400030997e-11,,,915.4153124507319,915.4153124507345,56.712246878898895,56.71224687888713,439.36457551563115,439.3645755156307,51.10077089759682,51.10077089759591,81.27020243411272,81.27020243412278,134.72189892093968,134.7218989209399
25,-2.175732401873828e-11,-2.0807208164690142e-11,,,945.6613216415299,945.303173426397,56.52780047572979,56.5203475323933,454.8084276164667,454.8780657556156,86.27541563224162,86.42160891664395,98.12008604177436,98.26985577669257,134.72189892093968,134.72189892093945
26,-1.638696123240635e-11,-1.5512993667421426e-11,,,1071.5656809147338,1071.565680914954,50.222464870978314,50.22246487075651,433.0138728185667,433.01387281856114,38.370077662460005,38.370077662458925,79.65197307587573,79.65197307587863,134.72189892093968,134.72189892094514
27,-9.042476117475806e-12,-1.0541721289929617e-11,,,1331.8232718012846,1331.8232718013123,49.2312608837318,49.23126088376255,431.0888809181946,431.0888809181886,36.47162276154938,36.471622761538015,79.65197307587567,79.65197307583082,134.72189892093968,134.72189892094332
28,-1.2685356946360758e-11,-1.2457983270917526e-11,,,464.83847075285036,464.8384707829822,62.00887345634859,62.00887344686999,432.07258466428823,432.07258465773714,35.76762430994472,35.76762429584085,46.31736521737918,46.317365217380484,134.72189892093968,134.72189892094013
29,-1.509356528650585e-11,-2.0365792385845793e-11,,,1343.863370720423,1343.8633707204272,56.74271905624107,56.742719056233,457.95631777003473,457.95631777003405,98.30357863375696,98.30357863375536,110.97179238692468,110.97179238693087,134.72189892093968,134.72189892093968
30,-4.3105548940567696e-11,-4.31481815047133e-11,,,1342.8846165824111,1342.8846165824596,133.85594394707115,133.85594394723725,485.7948368990126,485.7948368990003,153.36455508033885,153.36455508031474,118.52042283155066,118.52042283137109,134.72189892093968,134.72189892094138
31,-2.472251350115492e-11,-2.3287217174919516e-11,,,1286.310589850831,1286.3105898508315,73.8935809605824,73.8935809605824,447.954895888749,447.95489588874614,69.50235337097507,69.50235337097462,81.27020243411272,81.27020243411266,134.72189892093968,134.7218989209423
